epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,658.94,0.96884,0.96362,0.87657,0.87642,0.80256,0.914,0.67085,1.10489,0.81945,0.96835,0.000107275,0.000107275,0.000107275
175,663.944,0.95521,0.9158,0.86652,0.83768,0.83364,0.91204,0.66984,1.09995,0.81762,0.96886,0.00010645,0.00010645,0.00010645
176,667.192,0.91664,0.93402,0.86244,0.87147,0.82179,0.90497,0.65958,1.0961,0.82707,0.96217,0.000105625,0.000105625,0.000105625
177,670.41,0.92206,0.91603,0.86866,0.86402,0.81988,0.90758,0.66393,1.0898,0.82178,0.96334,0.0001048,0.0001048,0.0001048
178,673.845,0.93593,0.92734,0.86865,0.88015,0.81874,0.91476,0.66454,1.09491,0.80745,0.96704,0.000103975,0.000103975,0.000103975
179,678.704,0.95089,0.96193,0.86723,0.89554,0.81618,0.9141,0.66953,1.07338,0.79469,0.96245,0.00010315,0.00010315,0.00010315
180,682.11,0.946,0.93706,0.8665,0.85578,0.8434,0.91046,0.66961,1.0729,0.81318,0.96058,0.000102325,0.000102325,0.000102325
181,685.099,0.95981,0.94041,0.86464,0.89347,0.80374,0.91324,0.66462,1.0729,0.81953,0.95765,0.0001015,0.0001015,0.0001015
182,688.426,0.95002,0.96463,0.87555,0.90531,0.82635,0.92244,0.67221,1.07969,0.79954,0.9577,0.000100675,0.000100675,0.000100675
183,693.3,0.94025,0.96713,0.8638,0.89853,0.81779,0.92385,0.67759,1.0772,0.79346,0.95893,9.985e-05,9.985e-05,9.985e-05
