epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,9371.02,0.35323,0.24178,0.94517,0.99586,0.99391,0.99499,0.94735,0.38932,0.2293,0.79615,0.005578,0.005578,0.005578
136,9441.43,0.34912,0.2391,0.93945,0.99796,0.99232,0.99499,0.94779,0.38617,0.24292,0.79602,0.005545,0.005545,0.005545
137,9511.21,0.35983,0.24351,0.93994,0.99641,0.99188,0.99497,0.94991,0.39096,0.23334,0.80095,0.005512,0.005512,0.005512
138,9580.31,0.35079,0.23908,0.93749,0.99489,0.99391,0.99484,0.94815,0.38967,0.24326,0.79355,0.005479,0.005479,0.005479
139,9650.17,0.35083,0.23543,0.94335,0.99577,0.99391,0.99498,0.94867,0.3854,0.22736,0.78925,0.005446,0.005446,0.005446
140,9719.99,0.34804,0.23817,0.94071,0.99392,0.99556,0.99469,0.94804,0.38546,0.2187,0.78654,0.005413,0.005413,0.005413
141,9789.13,0.34391,0.23693,0.94132,0.99571,0.99492,0.99492,0.9462,0.38313,0.2229,0.79013,0.00538,0.00538,0.00538
142,9858.23,0.34989,0.235,0.94313,0.99476,0.99594,0.99493,0.94459,0.38598,0.21879,0.79611,0.005347,0.005347,0.005347
143,9928.88,0.3483,0.23496,0.94146,0.99589,0.99695,0.99493,0.94529,0.38546,0.21681,0.79198,0.005314,0.005314,0.005314
144,9998.56,0.34599,0.23833,0.93625,0.99581,0.99492,0.99494,0.95011,0.37961,0.21563,0.78649,0.005281,0.005281,0.005281
145,10067.9,0.35102,0.2344,0.9435,0.99392,0.99594,0.99495,0.95141,0.37537,0.21756,0.78594,0.005248,0.005248,0.005248
146,10138.1,0.34412,0.23417,0.93916,0.99658,0.99289,0.99486,0.94881,0.37315,0.21646,0.78208,0.005215,0.005215,0.005215
147,10207.7,0.34273,0.23044,0.93776,0.99373,0.99492,0.99488,0.95128,0.37369,0.21405,0.78131,0.005182,0.005182,0.005182
148,10277,0.34407,0.23636,0.94395,0.99796,0.99249,0.99491,0.95127,0.38363,0.22299,0.79173,0.005149,0.005149,0.005149
149,10346.7,0.3377,0.23112,0.93453,0.99672,0.99492,0.99494,0.94994,0.37878,0.22511,0.78578,0.005116,0.005116,0.005116
150,10416.4,0.341,0.2308,0.93688,0.99796,0.99349,0.9949,0.95062,0.37181,0.2273,0.77499,0.005083,0.005083,0.005083
151,10485.7,0.34191,0.23069,0.93717,0.99796,0.99277,0.99489,0.94943,0.37149,0.22539,0.77347,0.00505,0.00505,0.00505
152,10555.7,0.34722,0.23505,0.93716,0.99796,0.9928,0.99491,0.94757,0.37277,0.21529,0.77525,0.005017,0.005017,0.005017
153,10626.1,0.33693,0.22872,0.93523,0.99796,0.99163,0.99496,0.95129,0.36779,0.20136,0.77161,0.004984,0.004984,0.004984
154,10695.3,0.33997,0.23166,0.93838,0.99746,0.99289,0.99495,0.9498,0.37047,0.20668,0.77477,0.004951,0.004951,0.004951
155,10764.5,0.33316,0.22551,0.93784,0.99796,0.99175,0.99496,0.9506,0.36853,0.20354,0.77203,0.004918,0.004918,0.004918
156,10834.5,0.33616,0.2218,0.93655,0.99392,0.99506,0.99493,0.95189,0.36622,0.20096,0.76968,0.004885,0.004885,0.004885
157,10904.5,0.3319,0.22532,0.93769,0.99449,0.99492,0.9949,0.95079,0.37039,0.2094,0.77589,0.004852,0.004852,0.004852
158,10973.9,0.33915,0.22815,0.93665,0.99667,0.99188,0.99492,0.94923,0.37984,0.22229,0.79077,0.004819,0.004819,0.004819
159,11044.1,0.33603,0.22557,0.93641,0.9974,0.99086,0.99495,0.95026,0.37902,0.21865,0.79088,0.004786,0.004786,0.004786
160,11114.3,0.33886,0.23178,0.93355,0.99796,0.9912,0.99497,0.95301,0.37357,0.21275,0.78247,0.004753,0.004753,0.004753
161,11183.6,0.34532,0.22636,0.93944,0.99712,0.99391,0.99497,0.95436,0.37049,0.20623,0.77762,0.00472,0.00472,0.00472
162,11253.8,0.33104,0.2227,0.93513,0.99686,0.99492,0.99496,0.95412,0.3673,0.20206,0.7736,0.004687,0.004687,0.004687
163,11323.6,0.33158,0.22308,0.93424,0.99758,0.99594,0.99493,0.9531,0.36512,0.19941,0.77247,0.004654,0.004654,0.004654
164,11393.2,0.34019,0.22641,0.93338,0.99688,0.99492,0.99493,0.95434,0.36285,0.19873,0.7701,0.004621,0.004621,0.004621
165,11462.7,0.33131,0.22324,0.93373,0.99392,0.99576,0.99493,0.95456,0.36439,0.19923,0.76981,0.004588,0.004588,0.004588
166,11532.9,0.32819,0.22304,0.93322,0.99694,0.99389,0.99485,0.95429,0.36528,0.20461,0.77014,0.004555,0.004555,0.004555
167,11602.5,0.33202,0.2263,0.9317,0.99634,0.99391,0.99488,0.9539,0.3621,0.19896,0.76784,0.004522,0.004522,0.004522
168,11672,0.32646,0.22459,0.93167,0.99796,0.99373,0.99489,0.95399,0.36181,0.19679,0.76742,0.004489,0.004489,0.004489
169,11741.6,0.32991,0.2214,0.9337,0.99493,0.99548,0.99491,0.95353,0.36588,0.20257,0.77088,0.004456,0.004456,0.004456
170,11811.5,0.32799,0.21875,0.92904,0.99691,0.99188,0.99492,0.95561,0.36524,0.20419,0.77316,0.004423,0.004423,0.004423
171,11881,0.32767,0.21769,0.93568,0.99628,0.99188,0.99495,0.95385,0.37139,0.20726,0.78083,0.00439,0.00439,0.00439
172,11950.6,0.32808,0.22187,0.93535,0.99687,0.99188,0.99496,0.9527,0.37095,0.20821,0.78139,0.004357,0.004357,0.004357
173,12021.4,0.32745,0.22163,0.93248,0.99457,0.99391,0.99496,0.95227,0.36748,0.20762,0.77822,0.004324,0.004324,0.004324
174,12090.6,0.31925,0.2141,0.9289,0.99492,0.99349,0.99495,0.95188,0.36471,0.20798,0.77864,0.004291,0.004291,0.004291
175,12159.8,0.32408,0.21971,0.92913,0.99309,0.99492,0.99495,0.95233,0.36636,0.21125,0.78348,0.004258,0.004258,0.004258
176,12230,0.3217,0.21704,0.92638,0.99379,0.99594,0.99495,0.95108,0.37413,0.21511,0.79456,0.004225,0.004225,0.004225
177,12299.2,0.3266,0.21943,0.93002,0.99713,0.99086,0.99495,0.95099,0.37394,0.21296,0.79283,0.004192,0.004192,0.004192
178,12368.7,0.32094,0.21803,0.92852,0.99694,0.99289,0.99496,0.95088,0.37632,0.21467,0.79288,0.004159,0.004159,0.004159
179,12438.1,0.32103,0.21454,0.92788,0.99859,0.99289,0.99497,0.95252,0.37382,0.21397,0.78785,0.004126,0.004126,0.004126
180,12508.7,0.32453,0.21725,0.93078,0.99796,0.99095,0.99498,0.95157,0.3738,0.21493,0.78671,0.004093,0.004093,0.004093
181,12579.3,0.32065,0.21566,0.92888,0.99702,0.99391,0.99498,0.95158,0.37303,0.21258,0.78562,0.00406,0.00406,0.00406
182,12649,0.31926,0.21369,0.93022,0.99732,0.99391,0.99499,0.95216,0.37531,0.21191,0.78724,0.004027,0.004027,0.004027
183,12719.3,0.31766,0.21562,0.92853,0.99695,0.99465,0.99499,0.95198,0.37581,0.2127,0.78837,0.003994,0.003994,0.003994
184,12790,0.31727,0.21333,0.92574,0.99763,0.99391,0.99497,0.95193,0.37604,0.21198,0.78736,0.003961,0.003961,0.003961
185,12859.9,0.31735,0.21434,0.92608,0.99748,0.99391,0.99498,0.95231,0.37672,0.21279,0.78795,0.003928,0.003928,0.003928
186,12930.2,0.3129,0.21035,0.92781,0.99491,0.99594,0.99497,0.95152,0.37727,0.21394,0.78681,0.003895,0.003895,0.003895
187,13000.4,0.31367,0.21137,0.92921,0.99593,0.99489,0.99499,0.95237,0.37614,0.21164,0.7838,0.003862,0.003862,0.003862
188,13071.6,0.31426,0.21137,0.92783,0.99764,0.99391,0.995,0.95193,0.37409,0.2104,0.78172,0.003829,0.003829,0.003829
